Data Format: 
190,12/2/15 11:50:00,118.8,251.7,0.0,0.0,0.0,0.0,1966.3,756.5,4007,270.3,0.0,0.0,499.5,244.9,4.56
191,12/2/15 11:55:00,120.5,253.4,0.0,0.0,0.0,0.0,1968.8,744.4,5302,268.9,0.0,0.0,490.4,234.0,4.56
192,12/2/15 12:00:00,99.9,250.9,0.0,0.0,0.0,0.0,1965.4,742.7,5288,267.7,131.2,0.0,483.1,239.0,4.54
193,12/2/15 12:05:00,104.2,249.7,0.0,0.0,0.0,0.0,1966.3,745.0,4593,273.7,332.2,0.0,481.4,216.2,4.55
194,12/2/15 12:10:00,113.5,235.6,0.0,0.0,0.0,0.0,1965.2,747.8,4407,264.4,0.0,0.0,489.0,216.5,4.56
195,12/2/15 12:15:00,95.4,250.0,0.0,0.0,0.0,0.0,1954.2,751.7,4447,255.6,0.0,0.0,475.0,219.0,4.56
196,12/2/15 12:20:00,96.8,245.2,0.0,0.0,0.0,0.0,1960.1,751.1,4057,258.7,208.6,0.0,2377.9,226.9,4.56
197,12/2/15 12:25:00,90.7,255.1,0.0,0.0,0.0,0.0,1960.1,743.0,3699,191.4,131.2,0.0,585.6,179.6,4.56
198,12/2/15 12:30:00,123.9,235.1,0.0,0.0,0.0,0.0,1958.4,741.3,3561,190.9,133.5,0.0,482.8,177.9,4.56
199,12/2/15 12:35:00,116.6,144.1,0.0,0.0,0.0,0.0,1958.4,744.7,3139,193.1,0.0,0.0,473.0,179.6,4.56
200,12/2/15 12:40:00,98.5,149.2,0.0,0.0,0.0,0.0,1963.5,748.1,3372,192.0,0.0,0.0,495.5,139.9,4.56
201,12/2/15 12:45:00,96.6,148.4,0.0,0.0,0.0,0.0,1970.5,750.6,3639,190.9,789.2,0.0,2285.8,180.7,4.56
202,12/2/15 12:50:00,94.9,141.6,0.0,0.0,0.0,0.0,1963.5,753.1,3580,194.0,326.6,0.0,482.6,206.1,4.56
203,12/2/15 12:55:00,114.9,0.0,0.0,0.0,0.0,0.0,1959.8,755.9,3801,190.0,212.8,0.0,485.1,179.6,4.56
204,12/2/15 13:00:00,113.7,121.3,0.0,0.0,0.0,0.0,1950.5,744.1,4777,190.0,213.1,0.0,490.7,177.7,4.54
205,12/2/15 13:05:00,101.1,115.7,0.0,0.0,0.0,0.0,1950.2,744.4,4637,194.5,214.0,0.0,478.1,178.5,4.55
206,12/2/15 13:10:00,107.3,257.0,0.0,0.0,0.0,0.0,1956.4,743.8,4149,192.0,324.3,0.0,509.3,178.5,4.56
207,12/2/15 13:15:00,0.0,263.5,0.0,0.0,0.0,0.0,1955.6,743.8,3845,190.9,504.5,0.0,498.9,226.4,4.56
208,12/2/15 13:20:00,93.2,239.3,0.0,0.0,0.0,0.0,1959.0,747.2,3804,191.4,0.0,0.0,352.5,223.3,4.56
209,12/2/15 13:25:00,91.2,237.9,0.0,0.0,0.0,0.0,1961.8,750.0,4187,190.0,0.0,0.0,347.1,203.3,4.56
210,12/2/15 13:30:00,0.0,254.2,0.0,0.0,0.0,0.0,1832.8,751.1,4312,193.1,0.0,0.0,353.6,225.8,4.56
211,12/2/15 13:35:00,0.0,236.8,0.0,0.0,0.0,0.0,1967.7,756.5,3939,189.8,334.2,0.0,350.8,222.1,4.56
212,12/2/15 13:40:00,119.1,255.6,0.0,0.0,0.0,0.0,1962.1,746.4,3775,190.3,128.4,0.0,375.0,219.0,4.56
213,12/2/15 13:45:00,0.0,252.5,0.0,0.0,0.0,0.0,1961.2,0.0,4598,190.3,494.4,0.0,352.5,222.1,4.56
214,12/2/15 13:50:00,0.0,150.1,0.0,0.0,0.0,0.0,1954.5,0.0,7662,189.2,494.1,0.0,353.9,227.5,4.56
215,12/2/15 13:55:00,0.0,252.8,0.0,0.0,0.0,0.0,1953.9,0.0,5802,188.4,0.0,0.0,2374.2,214.3,4.56
216,12/2/15 14:00:00,0.0,240.4,0.0,0.0,0.0,0.0,1951.9,0.0,8105,188.1,618.3,0.0,438.6,217.1,4.54
217,12/2/15 14:05:00,0.0,241.6,0.0,0.0,0.0,0.0,1953.0,0.0,7188,253.9,131.8,0.0,424.6,241.6,4.55
218,12/2/15 14:10:00,101.6,255.6,0.0,0.0,0.0,0.0,1950.5,770.9,6673,255.1,547.9,0.0,348.5,220.7,4.56
219,12/2/15 14:15:00,96.6,242.1,0.0,0.0,0.0,0.0,1954.7,762.4,5513,190.3,544.8,0.0,368.3,232.6,4.56
220,12/2/15 14:20:00,109.8,240.4,0.0,0.0,0.0,0.0,1956.7,756.5,4113,188.6,0.0,0.0,349.4,234.2,4.56
221,12/2/15 14:25:00,127.8,255.6,0.0,0.0,0.0,0.0,1962.1,0.0,3443,189.8,0.0,0.0,353.6,219.9,4.56
222,12/2/15 14:30:00,128.7,235.6,0.0,0.0,0.0,0.0,1965.4,0.0,1737,189.5,0.0,0.0,356.7,219.0,4.56
223,12/2/15 14:35:00,117.1,236.8,0.0,0.0,0.0,0.0,1965.4,0.0,1594,189.8,148.9,0.0,356.4,235.6,4.56
224,12/2/15 14:40:00,118.2,236.8,0.0,0.0,0.0,0.0,1969.1,0.0,1636,189.2,145.8,0.0,289.1,250.6,4.56
225,12/2/15 14:45:00,94.0,260.1,0.0,0.0,0.0,0.0,1974.2,0.0,1771,188.1,165.3,0.0,309.4,217.9,4.56
226,12/2/15 14:50:00,93.5,237.9,0.0,0.0,0.0,0.0,1969.1,0.0,1908,188.6,134.6,0.0,375.3,235.9,4.56
227,12/2/15 14:55:00,122.2,237.6,0.0,0.0,0.0,0.0,1968.2,0.0,1916,189.2,130.6,0.0,385.4,221.3,4.56
228,12/2/15 15:00:00,104.7,236.5,0.0,0.0,0.0,0.0,1960.6,0.0,1986,189.2,131.8,0.0,281.3,232.8,4.54
229,12/2/15 15:05:00,119.7,236.5,0.0,0.0,0.0,0.0,1968.8,725.5,1749,190.9,0.0,0.0,287.7,226.4,4.55
230,12/2/15 15:10:00,116.6,272.2,0.0,0.0,0.0,0.0,1958.1,779.9,1645,188.6,0.0,0.0,289.1,219.0,4.60
231,12/2/15 15:15:00,123.9,239.3,0.0,0.0,0.0,0.0,1959.0,767.2,1464,187.8,135.4,0.0,283.8,222.7,4.56
232,12/2/15 15:20:00,118.2,254.8,0.0,0.0,0.0,0.0,1962.1,761.0,1369,187.8,339.0,0.0,280.4,220.2,4.56
233,12/2/15 15:25:00,117.4,236.8,0.0,0.0,0.0,0.0,1965.7,0.0,1320,189.2,147.5,0.0,301.2,246.3,4.56
234,12/2/15 15:30:00,0.0,252.8,0.0,0.0,0.0,0.0,1836.8,0.0,1358,188.1,213.1,0.0,306.9,177.9,4.56
235,12/2/15 15:35:00,0.0,250.6,0.0,0.0,0.0,0.0,1832.5,0.0,1493,188.6,0.0,0.0,410.8,181.3,4.56
236,12/2/15 15:40:00,0.0,253.1,0.0,0.0,0.0,0.0,1953.9,0.0,1489,188.6,146.1,0.0,364.9,107.8,4.56
237,12/2/15 15:45:00,104.5,247.8,0.0,0.0,0.0,0.0,1958.4,775.1,1322,189.5,130.6,0.0,284.4,0.0,4.56
238,12/2/15 15:50:00,95.7,248.9,0.0,0.0,0.0,0.0,1951.6,773.1,1049,186.1,130.6,0.0,284.4,0.0,4.56
239,12/2/15 15:55:00,140.2,248.3,0.0,0.0,0.0,0.0,1953.3,853.1,910,256.2,0.0,0.0,456.9,0.0,4.56
240,12/2/15 16:00:00,125.0,247.5,0.0,0.0,0.0,0.0,1949.7,853.9,821,259.9,0.0,0.0,485.1,0.0,4.54
241,12/2/15 16:05:00,102.2,249.7,0.0,0.0,0.0,0.0,1954.7,169.8,919,262.1,134.6,0.0,497.8,0.0,4.55
242,12/2/15 16:10:00,100.5,234.8,0.0,0.0,0.0,0.0,1962.3,169.8,783,254.8,128.4,0.0,534.4,125.0,4.56
243,12/2/15 16:15:00,113.2,238.2,0.0,0.0,0.0,0.0,1961.8,170.1,718,250.6,0.0,0.0,490.2,127.0,4.56
244,12/2/15 16:20:00,117.4,239.3,0.0,0.0,0.0,0.0,1963.5,170.1,662,249.4,0.0,0.0,527.3,126.7,4.56
245,12/2/15 16:25:00,97.7,255.6,0.0,0.0,0.0,0.0,1964.0,877.8,594,265.5,641.3,0.0,570.4,123.0,4.56
246,12/2/15 16:30:00,96.8,261.6,0.0,0.0,0.0,0.0,1973.6,875.6,0,291.1,322.1,0.0,566.2,134.6,4.56
247,12/2/15 16:35:00,96.3,258.7,0.0,0.0,0.0,0.0,1961.2,859.8,0,256.8,319.8,0.0,494.4,134.9,4.56
248,12/2/15 16:40:00,93.2,257.9,0.0,0.0,0.0,0.0,1964.3,170.1,557,270.6,210.0,0.0,509.0,148.4,4.56
249,12/2/15 16:45:00,94.3,245.2,0.0,0.0,0.0,0.0,1826.1,171.2,0,289.1,210.0,0.0,494.7,121.9,4.56
250,12/2/15 16:50:00,118.8,237.6,0.0,0.0,0.0,0.0,1833.1,171.2,0,255.4,0.0,0.0,478.9,124.4,4.56
251,12/2/15 16:55:00,0.0,258.7,0.0,0.0,0.0,0.0,1834.8,857.3,0,258.2,614.0,0.0,478.9,92.9,4.56
252,12/2/15 17:00:00,96.3,236.8,0.0,0.0,0.0,0.0,1823.5,870.5,0,260.7,130.1,0.0,481.4,0.0,4.54
253,12/2/15 17:05:00,94.0,239.3,0.0,0.0,0.0,0.0,1824.7,860.9,0,255.1,0.0,0.0,424.6,0.0,4.55
254,12/2/15 17:10:00,0.0,237.1,0.0,0.0,0.0,0.0,1830.9,856.4,0,256.8,0.0,0.0,516.3,0.0,4.56
255,12/2/15 17:15:00,97.4,253.7,0.0,0.0,0.0,0.0,1830.6,171.2,0,257.3,208.9,0.0,564.5,0.0,4.56
256,12/2/15 17:20:00,0.0,236.2,0.0,0.0,0.0,0.0,1830.0,171.5,0,249.7,130.9,0.0,502.3,0.0,4.56
257,12/2/15 17:25:00,0.0,234.2,0.0,0.0,0.0,0.0,1826.1,172.3,0,252.5,128.4,0.0,498.0,0.0,4.56
258,12/2/15 17:30:00,0.0,236.5,0.0,0.0,0.0,0.0,1953.3,172.3,0,254.8,0.0,0.0,470.5,0.0,4.56
259,12/2/15 17:35:00,0.0,258.5,0.0,0.0,0.0,0.0,1955.6,234.8,0,270.3,0.0,0.0,484.5,0.0,4.56
260,12/2/15 17:40:00,0.0,250.3,0.0,0.0,0.0,0.0,1956.7,171.5,0,136.3,553.2,0.0,496.1,0.0,4.56
261,12/2/15 17:45:00,0.0,119.4,0.0,0.0,0.0,0.0,1960.6,172.0,0,135.1,135.7,0.0,488.2,0.0,4.57
262,12/2/15 17:50:00,0.0,118.5,0.0,0.0,0.0,0.0,1962.6,172.3,0,135.4,128.9,0.0,477.8,0.0,4.56
263,12/2/15 17:55:00,0.0,97.4,0.0,0.0,0.0,0.0,1959.5,880.9,0,135.7,0.0,0.0,508.7,0.0,4.56
264,12/2/15 18:00:00,0.0,117.4,0.0,0.0,0.0,0.0,1956.4,866.6,0,136.5,0.0,0.0,562.5,0.0,4.54
265,12/2/15 18:05:00,0.0,108.7,0.0,0.0,0.0,0.0,1819.0,763.5,0,137.1,0.0,0.0,558.6,0.0,4.55
266,12/2/15 18:10:00,0.0,121.3,0.0,0.0,0.0,0.0,1817.9,0.0,0,137.7,132.3,0.0,485.4,0.0,4.55
267,12/2/15 18:15:00,0.0,119.4,0.0,0.0,0.0,0.0,1815.7,0.0,0,136.0,130.4,0.0,474.1,0.0,4.56
268,12/2/15 18:20:00,0.0,110.4,0.0,0.0,0.0,0.0,1825.2,737.1,0,136.8,0.0,0.0,487.3,0.0,4.56
269,12/2/15 18:25:00,0.0,119.9,0.0,0.0,0.0,0.0,1826.6,782.7,0,135.4,0.0,0.0,425.1,0.0,4.56
270,12/2/15 18:30:00,0.0,93.5,0.0,0.0,0.0,0.0,1827.8,770.9,0,137.4,0.0,0.0,429.1,0.0,4.56
271,12/2/15 18:35:00,0.0,0.0,0.0,0.0,0.0,0.0,1826.1,699.3,0,136.0,130.6,0.0,435.3,0.0,4.56
272,12/2/15 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1829.2,0.0,0,136.3,127.0,0.0,414.1,0.0,4.56
273,12/2/15 18:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1828.0,715.7,0,137.1,0.0,0.0,505.4,0.0,4.56
274,12/2/15 18:50:00,0.0,90.9,0.0,0.0,0.0,0.0,1825.2,702.4,0,136.5,0.0,0.0,423.2,0.0,4.56
275,12/2/15 18:55:00,0.0,90.1,0.0,0.0,0.0,0.0,1817.6,696.0,0,137.1,0.0,0.0,354.7,0.0,4.56
276,12/2/15 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1822.4,693.7,0,139.1,131.8,0.0,348.5,0.0,4.54
277,12/2/15 19:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1825.2,0.0,0,136.0,130.6,0.0,349.4,0.0,4.55
278,12/2/15 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1494.4,711.2,0,137.1,488.5,0.0,368.0,0.0,4.56
279,12/2/15 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1497.2,702.2,0,137.4,0.0,0.0,393.6,0.0,4.56
280,12/2/15 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1497.2,695.4,0,137.1,0.0,0.0,350.8,0.0,4.56
281,12/2/15 19:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1496.7,0.0,0,136.3,129.5,0.0,354.7,0.0,4.56
282,12/2/15 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1504.3,0.0,0,135.4,135.1,0.0,343.5,0.0,4.56
283,12/2/15 19:35:00,0.0,0.0,0.0,0.0,0.0,0.0,1503.1,0.0,0,136.3,0.0,0.0,435.0,0.0,4.56
284,12/2/15 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1631.0,0.0,0,136.5,0.0,0.0,430.5,0.0,4.56
285,12/2/15 19:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1631.5,0.0,0,138.0,0.0,0.0,354.5,0.0,4.56
286,12/2/15 19:50:00,0.0,91.5,0.0,0.0,0.0,0.0,1623.9,0.0,0,135.1,131.8,0.0,346.9,0.0,4.56
287,12/2/15 19:55:00,0.0,91.5,0.0,0.0,0.0,0.0,1627.0,0.0,0,134.0,130.1,0.0,355.9,0.0,4.56
288,12/2/15 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1627.0,0.0,0,134.6,126.1,0.0,339.0,0.0,4.54
289,12/2/15 20:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1625.3,0.0,0,134.9,0.0,0.0,361.8,0.0,4.55
290,12/2/15 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1627.9,0.0,0,135.7,0.0,0.0,348.0,0.0,4.56
291,12/2/15 20:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1497.2,0.0,0,136.8,335.0,0.0,352.5,0.0,4.56
292,12/2/15 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1498.1,0.0,0,138.5,314.2,0.0,443.4,0.0,4.56
293,12/2/15 20:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1502.3,0.0,0,136.3,217.6,0.0,449.3,0.0,4.59
294,12/2/15 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1813.1,0.0,0,136.3,210.6,0.0,346.0,0.0,4.59
295,12/2/15 20:35:00,0.0,0.0,0.0,0.0,0.0,0.0,1828.0,0.0,0,135.7,210.3,0.0,339.5,0.0,4.56
296,12/2/15 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1830.3,0.0,0,136.3,321.5,0.0,343.5,0.0,4.56
297,12/2/15 20:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0,136.5,125.3,0.0,345.4,0.0,4.56
298,12/2/15 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1500.9,0.0,0,134.9,0.0,0.0,481.2,0.0,4.56
299,12/2/15 20:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1501.2,0.0,0,135.1,0.0,0.0,476.9,0.0,4.56
300,12/2/15 21:00:00,0.0,90.1,0.0,0.0,0.0,0.0,1502.0,0.0,0,136.0,147.8,0.0,502.8,0.0,4.54
301,12/2/15 21:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1502.0,0.0,0,136.0,134.0,0.0,474.1,0.0,4.55
302,12/2/15 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1501.2,0.0,0,135.7,134.0,0.0,528.2,0.0,4.56
303,12/2/15 21:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1498.1,0.0,0,136.0,0.0,0.0,498.6,0.0,4.56
304,12/2/15 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,1497.5,0.0,0,135.4,0.0,0.0,361.2,0.0,4.56
305,12/2/15 21:25:00,0.0,0.0,0.0,0.0,0.0,0.0,1499.8,0.0,0,136.0,625.3,0.0,358.7,0.0,4.56
306,12/2/15 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,1505.4,0.0,0,134.6,130.4,0.0,353.1,0.0,4.56
307,12/2/15 21:35:00,0.0,0.0,0.0,0.0,0.0,0.0,1504.3,0.0,0,134.0,0.0,0.0,294.2,0.0,4.56
308,12/2/15 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,1508.5,0.0,0,133.2,0.0,0.0,313.6,0.0,4.56
309,12/2/15 21:45:00,0.0,0.0,0.0,0.0,0.0,0.0,1509.3,0.0,0,134.0,0.0,0.0,286.3,0.0,4.56
310,12/2/15 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,1505.1,0.0,0,133.7,133.5,0.0,285.2,0.0,4.56
311,12/2/15 21:55:00,0.0,0.0,0.0,0.0,0.0,0.0,1506.8,0.0,0,133.5,332.8,0.0,291.7,0.0,4.56
312,12/2/15 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1504.6,0.0,0,133.5,0.0,0.0,373.0,0.0,4.54
313,12/2/15 22:05:00,0.0,0.0,0.0,0.0,0.0,0.0,1506.2,0.0,0,133.5,0.0,0.0,362.9,0.0,4.55
314,12/2/15 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,1504.8,0.0,0,134.0,0.0,0.0,294.5,0.0,4.56
315,12/2/15 22:15:00,0.0,0.0,0.0,0.0,0.0,0.0,1074.1,0.0,0,134.6,130.9,0.0,292.2,0.0,4.56
316,12/2/15 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,682.7,0.0,0,134.6,130.4,0.0,291.7,0.0,4.56
317,12/2/15 22:25:00,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,0,134.3,0.0,0.0,292.2,0.0,4.56
318,12/2/15 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,134.3,0.0,0.0,293.9,0.0,4.56
319,12/2/15 22:35:00,0.0,0.0,0.0,0.0,0.0,0.0,685.3,0.0,0,134.3,0.0,0.0,285.8,0.0,4.56
320,12/2/15 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,139.1,134.6,0.0,301.5,0.0,4.56
321,12/2/15 22:45:00,0.0,91.5,0.0,0.0,0.0,0.0,682.5,0.0,0,134.9,130.9,0.0,288.3,0.0,4.56
322,12/2/15 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,136.3,0.0,0.0,398.1,0.0,4.56
323,12/2/15 22:55:00,0.0,0.0,0.0,0.0,0.0,0.0,684.1,0.0,0,137.4,0.0,0.0,376.4,0.0,4.56
324,12/2/15 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,682.2,0.0,0,135.1,0.0,0.0,295.1,0.0,4.54
325,12/2/15 23:05:00,0.0,0.0,0.0,0.0,0.0,0.0,682.7,0.0,0,136.3,134.0,0.0,285.5,0.0,4.55
326,12/2/15 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,682.2,0.0,0,136.3,129.5,0.0,288.9,0.0,4.57
327,12/2/15 23:15:00,0.0,90.1,0.0,0.0,0.0,0.0,682.5,0.0,0,137.4,0.0,0.0,284.9,101.9,4.56
328,12/2/15 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,0,137.4,0.0,0.0,282.7,0.0,4.56
329,12/2/15 23:25:00,0.0,0.0,0.0,0.0,0.0,0.0,684.4,0.0,0,137.7,0.0,0.0,297.6,0.0,4.56
330,12/2/15 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,685.6,0.0,0,140.2,131.2,0.0,288.6,0.0,4.56
331,12/2/15 23:35:00,0.0,0.0,0.0,0.0,0.0,0.0,684.1,0.0,0,137.4,130.4,0.0,284.4,0.0,4.56
332,12/2/15 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,684.1,0.0,0,138.2,0.0,0.0,365.2,0.0,4.56
333,12/2/15 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,138.2,0.0,0.0,362.1,0.0,4.56
334,12/2/15 23:50:00,0.0,91.2,0.0,0.0,0.0,0.0,682.5,0.0,0,137.1,0.0,0.0,288.3,0.0,4.56
335,12/2/15 23:55:00,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0,139.6,141.3,0.0,284.6,0.0,4.56
336,12/3/15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,135.7,331.4,0.0,292.2,0.0,4.54
337,12/3/15 00:05:00,0.0,91.8,0.0,0.0,0.0,0.0,683.6,0.0,0,135.7,0.0,0.0,302.7,0.0,4.55
338,12/3/15 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,134.9,0.0,0.0,280.7,0.0,4.56
339,12/3/15 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,684.4,0.0,0,135.7,0.0,0.0,279.6,0.0,4.56
340,12/3/15 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0,133.7,145.3,0.0,283.8,0.0,4.56
341,12/3/15 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,135.1,135.4,0.0,290.5,0.0,4.56
342,12/3/15 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,136.0,207.8,0.0,364.3,0.0,4.56
343,12/3/15 00:35:00,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0,136.5,0.0,0.0,366.0,0.0,4.56
344,12/3/15 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,682.5,0.0,0,136.3,0.0,0.0,306.6,0.0,4.56
345,12/3/15 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0,0,137.1,0.0,0.0,279.6,0.0,4.56
346,12/3/15 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,686.1,0.0,0,137.4,127.8,0.0,296.7,0.0,4.56
347,12/3/15 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,681.9,0.0,0,137.7,126.1,0.0,299.0,0.0,4.56
348,12/3/15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,682.2,0.0,0,136.8,0.0,0.0,288.0,0.0,4.54
349,12/3/15 01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,681.6,0.0,0,137.1,0.0,0.0,277.0,0.0,4.55
350,12/3/15 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,681.9,0.0,0,136.5,0.0,0.0,283.8,0.0,4.56
351,12/3/15 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,681.9,0.0,0,137.1,135.4,0.0,286.3,0.0,4.56
352,12/3/15 01:20:00,0.0,91.2,0.0,0.0,0.0,0.0,682.2,0.0,0,138.8,817.0,0.0,366.3,0.0,4.56
353,12/3/15 01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,684.7,0.0,0,138.0,0.0,0.0,368.8,0.0,4.56
354,12/3/15 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,681.6,0.0,0,136.5,0.0,0.0,284.9,0.0,4.57
355,12/3/15 01:35:00,0.0,91.2,0.0,0.0,0.0,0.0,681.9,0.0,0,136.3,0.0,0.0,281.0,0.0,4.56
356,12/3/15 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,682.2,0.0,0,136.3,131.8,0.0,286.3,0.0,4.56
357,12/3/15 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,683.6,0.0,0,136.5,130.4,0.0,288.3,0.0,4.56
358,12/3/15 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,0,138.2,0.0,0.0,292.5,0.0,4.56
359,12/3/15 01:55:00,0.0,91.2,0.0,0.0,0.0,0.0,683.3,0.0,0,138.0,0.0,0.0,311.4,0.0,4.56
360,12/3/15 02:00:00,0.0,91.2,0.0,0.0,0.0,0.0,682.7,0.0,0,142.5,0.0,0.0,290.5,0.0,4.54
361,12/3/15 02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,682.5,0.0,0,139.1,130.9,0.0,282.4,0.0,4.55
362,12/3/15 02:10:00,0.0,91.2,0.0,0.0,0.0,0.0,681.6,0.0,0,138.0,332.5,0.0,363.5,0.0,4.56
363,12/3/15 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,681.0,0.0,0,139.6,0.0,0.0,374.4,0.0,4.56
364,12/3/15 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,690.3,0.0,0,138.8,0.0,0.0,288.9,0.0,4.56
365,12/3/15 02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,691.5,0.0,0,136.8,0.0,0.0,288.3,0.0,4.56
366,12/3/15 02:30:00,0.0,91.8,0.0,0.0,0.0,0.0,686.4,0.0,0,137.7,130.4,0.0,295.1,0.0,4.56
367,12/3/15 02:35:00,0.0,0.0,0.0,0.0,0.0,0.0,686.4,0.0,0,140.8,134.9,0.0,288.3,0.0,4.56
368,12/3/15 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,685.6,0.0,0,138.0,206.9,0.0,281.5,0.0,4.56
369,12/3/15 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,686.1,0.0,0,138.0,374.2,0.0,282.4,0.0,4.56
370,12/3/15 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,686.4,0.0,0,138.0,215.1,0.0,289.4,0.0,4.56
371,12/3/15 02:55:00,0.0,0.0,0.0,0.0,0.0,0.0,685.3,0.0,0,138.5,322.1,0.0,294.5,0.0,4.56
372,12/3/15 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,687.8,0.0,0,139.1,314.5,0.0,385.7,0.0,4.54
373,12/3/15 03:05:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,139.4,0.0,0.0,365.4,0.0,4.55
374,12/3/15 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,692.0,0.0,0,139.1,0.0,0.0,292.8,0.0,4.56
375,12/3/15 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,687.5,0.0,0,139.1,486.2,0.0,284.9,0.0,4.56
376,12/3/15 03:20:00,0.0,92.1,0.0,0.0,0.0,0.0,687.2,0.0,0,139.1,145.0,0.0,288.9,0.0,4.56
377,12/3/15 03:25:00,0.0,92.1,0.0,0.0,0.0,0.0,686.4,0.0,0,139.6,131.2,0.0,294.8,0.0,4.56
378,12/3/15 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,690.1,0.0,0,139.6,0.0,0.0,284.6,0.0,4.56
379,12/3/15 03:35:00,0.0,91.8,0.0,0.0,0.0,0.0,686.4,0.0,0,140.8,0.0,0.0,288.3,0.0,4.56
380,12/3/15 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,689.2,0.0,0,140.2,0.0,0.0,286.3,0.0,4.56
